scenario,temperature_c,aging_label,delivered_Ah,delivered_Wh,duration_h,V_min,t_to_Vcut_h,pass_1h,margin_Vmin,I_nominal_A,I_peak_A,I_hold_A
C10,20,new,1610.0,7260.1464,10.0,4.0321,10.0,True,2.2321,161.0,,
C5,20,new,1400.0,6364.8416,5.0,4.041,5.0,True,2.271,280.0,,
